zoneID;zoneDescription;zoneName;zoneAvailable;zoneType;zoneX;zoneY;zoneCapacity
1;zone in which robots can deposit outgoing packages and courrier can take to load in their truck/van's;DropZoneOut 1;True;7;0;0;4
2;;Normal 2;True;6;1;0;4
3;;Void 3;True;1;2;0;4
4;;Void 4;True;1;3;0;4
5;zone in which robots can deposit packages that are unreadable or not present in the DB;ErrorZone 5;True;5;4;0;4
6;zone in which robots can deposit packages that are unreadable or not present in the DB;ErrorZone 6;True;5;5;0;4
7;zone in which robots can deposit packages that are unreadable or not present in the DB;ErrorZone 7;True;5;6;0;4
8;zone in which robots can deposit packages that are unreadable or not present in the DB;ErrorZone 8;True;5;7;0;4
9;for charging the robots;RobotStation 9;True;2;8;0;4
10;for charging the robots;RobotStation 10;True;2;9;0;4
11;for charging the robots;RobotStation 11;True;2;10;0;4
12;;Void 12;True;1;11;0;4
13;;Void 13;True;1;0;1;4
14;;Normal 14;True;6;1;1;4
15;;Normal 15;True;6;2;1;4
16;;Normal 16;True;6;3;1;4
17;for putting packages (up to 4);Storage 17;True;3;4;1;4
18;for putting packages (up to 4);Storage 18;True;3;5;1;4
19;for putting packages (up to 4);Storage 19;True;3;6;1;4
20;for putting packages (up to 4);Storage 20;True;3;7;1;4
21;;Void 21;True;1;8;1;4
22;;Normal 22;True;6;9;1;4
23;;Normal 23;True;6;10;1;4
24;zone in which courriers can deposit their packages and robots can pick up;DropZoneIn 24;True;4;11;1;4
25;zone in which robots can deposit outgoing packages and courrier can take to load in their truck/van's;DropZoneOut 25;True;7;0;2;4
26;;Normal 26;True;6;1;2;4
27;;Void 27;True;1;2;2;4
28;;Void 28;True;1;3;2;4
29;for putting packages (up to 4);Storage 29;True;3;4;2;4
30;for putting packages (up to 4);Storage 30;True;3;5;2;4
31;for putting packages (up to 4);Storage 31;True;3;6;2;4
32;for putting packages (up to 4);Storage 32;True;3;7;2;4
33;;Normal 33;True;6;8;2;4
34;;Normal 34;True;6;9;2;4
35;;Normal 35;True;6;10;2;4
36;;Void 36;True;1;11;2;4
37;;Void 37;True;1;0;3;4
38;;Normal 38;True;6;1;3;4
39;;Normal 39;True;6;2;3;4
40;;Normal 40;True;6;3;3;4
41;for putting packages (up to 4);Storage 41;True;3;4;3;4
42;for putting packages (up to 4);Storage 42;True;3;5;3;4
43;for putting packages (up to 4);Storage 43;True;3;6;3;4
44;for putting packages (up to 4);Storage 44;True;3;7;3;4
45;;Void 45;True;1;8;3;4
46;;Void 46;True;1;9;3;4
47;;Normal 47;True;6;10;3;4
48;zone in which courriers can deposit their packages and robots can pick up;DropZoneIn 48;True;4;11;3;4
49;zone in which robots can deposit outgoing packages and courrier can take to load in their truck/van's;DropZoneOut 49;True;7;0;4;4
50;;Normal 50;True;6;1;4;4
51;;Normal 51;True;6;2;4;4
52;;Void 52;True;1;3;4;4
53;for putting packages (up to 4);Storage 53;True;3;4;4;4
54;for putting packages (up to 4);Storage 54;True;3;5;4;4
55;for putting packages (up to 4);Storage 55;True;3;6;4;4
56;for putting packages (up to 4);Storage 56;True;3;7;4;4
57;;Normal 57;True;6;8;4;4
58;;Normal 58;True;6;9;4;4
59;;Normal 59;True;6;10;4;4
60;;Void 60;True;1;11;4;4
61;;Void 61;True;1;0;5;4
62;for charging the robots;RobotStation 62;True;2;1;5;4
63;for charging the robots;RobotStation 63;True;2;2;5;4
64;for charging the robots;RobotStation 64;True;2;3;5;4
65;for putting packages (up to 4);Storage 65;True;3;4;5;4
66;for putting packages (up to 4);Storage 66;True;3;5;5;4
67;for putting packages (up to 4);Storage 67;True;3;6;5;4
68;for putting packages (up to 4);Storage 68;True;3;7;5;4
69;;Void 69;True;1;8;5;4
70;;Void 70;True;1;9;5;4
71;;Normal 71;True;6;10;5;4
72;zone in which courriers can deposit their packages and robots can pick up;DropZoneIn 72;True;4;11;5;4
